"","Estimate","Std. Error","z value","Pr(>|z|)"
"ALPHA.Frankfurt",1.65353584388617,0.642184070785406,2.57486275214496,0.0100279869902402
"ALPHA.Schalke.04",1.40745675029065,0.636436550938406,2.2114643607684,0.0270036972129642
"ALPHA.Dortmund",0.984731135305325,0.63099384494011,1.56060339288855,0.118617357743776
"ALPHA.Hoffenheim",0.973365238232484,0.633229331294775,1.53714490174078,0.124257829390127
"ALPHA.Augsburg",0.962650972061485,0.630696912608902,1.52632897484696,0.126927956145902
"ALPHA.Hamburger.SV",0.775507455430422,0.635710054017709,1.21990748853064,0.222499946706878
"GAMMA.Bayern.München",0.763476350931778,0.62790433420208,1.21591189827026,0.224018485081058
"ALPHA.Mainz.05",0.753655669181097,0.629255300549104,1.19769458997554,0.231035936246011
"ALPHA.Bayer.04.Leverkusen",0.647887474650438,0.632438117415265,1.02442825125455,0.305633043742777
"ALPHA.Mönchengladbach",0.597925338551341,0.638114974662811,0.937018189970066,0.348749201281444
"ALPHA.Wolfsburg",0.528369766784099,0.641879568978298,0.823160281647729,0.410416852152686
"ALPHA.Bremen",0.448137792323703,0.62859688498467,0.712917615451805,0.475896738054724
"ALPHA.Paderborn",0.406837507459463,0.636081104804056,0.639600051607866,0.522432648919144
"ALPHA.Hertha.BSC",0.224698720439547,0.629021400093422,0.357219516547729,0.720927476396761
"ALPHA.Bayern.München",0.221632515486746,0.668854788604109,0.331361185212249,0.740371680013009
"ALPHA.SC.Freiburg",0.216299967654357,0.627721008347369,0.344579781109796,0.730410308212651
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Mönchengladbach",-0.182307627140392,0.617011064261087,-0.295468975679905,0.767635648771636
"ALPHA.Köln",-0.193652769466226,0.624931042716662,-0.309878620566503,0.756653261411414
"ALPHA.Hannover",-0.228787422762585,0.627924332964423,-0.364355083489888,0.715592871778198
"GAMMA.Bayer.04.Leverkusen",-0.483464902221177,0.616962045167215,-0.783621790040817,0.433262066131636
"ALPHA.Stuttgart",-0.506860940982658,0.628568305869378,-0.806373684848164,0.420027415482533
"(Intercept):2",-0.692915330764136,0.0703263102896348,-9.85286058532581,6.66203436110674e-23
"GAMMA.Köln",-0.883052831214369,0.618865322467504,-1.42689014742903,0.153611561204153
"GAMMA.Stuttgart",-1.14116792629931,0.621178262157698,-1.83710215862254,0.0661948155728407
"GAMMA.Dortmund",-1.18148147501631,0.621573596412088,-1.90079096318792,0.0573293982121138
"GAMMA.Hannover",-1.23456011084369,0.622294249709825,-1.98388481240083,0.0472686823934087
"GAMMA.Augsburg",-1.28354945600288,0.62283661576115,-2.06081245630412,0.0393209356558442
"GAMMA.SC.Freiburg",-1.32969088433183,0.6235537919618,-2.13243973731345,0.0329707135994881
"GAMMA.Mainz.05",-1.34655694449801,0.623750292829923,-2.15880771516555,0.0308650876938661
"GAMMA.Bremen",-1.40616581120232,0.624655744820741,-2.25110522533632,0.024378873551443
"GAMMA.Hertha.BSC",-1.44503924055871,0.625260933684161,-2.3110979156242,0.0208274471006209
"GAMMA.Schalke.04",-1.58533742349803,0.627338433645312,-2.5270848053833,0.0115013726491734
"GAMMA.Hoffenheim",-1.66867045927241,0.629169883555228,-2.65217789803178,0.00799743926686877
"(Intercept):1",-1.84868036643926,0.116296211435597,-15.8963077439803,6.72110898598449e-57
"GAMMA.Hamburger.SV",-1.87096001504016,0.633705838128971,-2.95241088604171,0.00315303064578357
"GAMMA.Paderborn",-1.87562266033943,0.633840391237823,-2.95914032344411,0.00308498591080127
"GAMMA.Frankfurt",-1.95855631208137,0.635430089872511,-3.0822530177542,0.00205440134586153
