,Team,xP,xPs,ordroundxG,Platz_xPs,Platz_xP,Platz,Punkte
0,Bayern München,70.0796,70.76719,1,1,1,1,84
1,Schalke 04,48.155590000000004,48.591890000000014,7,7,7,2,63
2,Hoffenheim,52.00451000000001,52.14093000000001,6,5,5,3,55
3,Borussia Dortmund,59.66371000000001,60.3446,2,3,3,4,55
4,Bayer Leverkusen,59.87762000000001,60.52509,3,2,2,5,55
5,RB Leipzig,52.277060000000006,52.64610999999999,4,4,4,6,53
6,Stuttgart,45.032000000000004,45.31462,10,8,8,7,51
7,Eintracht Frankfurt,49.744989999999994,50.08653,5,6,6,8,49
8,Borussia M'gladbach,43.81852,43.85205999999999,12,12,12,9,47
9,Hertha BSC,44.44437,44.52637999999999,9,11,11,10,43
10,Werder Bremen,42.18546,42.102729999999994,16,13,13,11,42
11,Augsburg,44.63867,44.68537,8,10,10,12,41
12,Hannover 96,44.91539,45.16006000000001,11,9,9,13,39
13,Mainz 05,40.65325,41.10190000000001,15,15,15,14,36
14,Freiburg,41.108850000000004,41.677690000000005,14,14,14,15,36
15,Wolfsburg,36.705380000000005,36.650040000000004,17,17,17,16,33
16,Hamburger SV,38.463300000000004,38.38511,13,16,16,17,31
17,Köln,32.625319999999995,32.22385,18,18,18,18,22
